17, 1, 170, 176, 221, 221
57, 1, 264, 58, 334, 91
98, 1, 271, 178, 338, 222
98, 1, 218, 177, 274, 222
38, 1, 294, 142, 352, 178
57, 1, 332, 176, 399, 223
98, 1, 219, 177, 273, 222
98, 2, 170, 176, 221, 221
17, 2, 264, 58, 334, 91
57, 2, 271, 178, 338, 222
17, 2, 218, 177, 274, 222
86, 2, 294, 142, 352, 178
86, 2, 332, 176, 399, 223
17, 2, 219, 177, 273, 222
38, 3, 170, 176, 221, 221
38, 3, 264, 58, 334, 91
38, 3, 271, 178, 338, 222
38, 3, 218, 177, 274, 222
97, 3, 294, 142, 352, 178
38, 3, 332, 176, 399, 223
38, 3, 219, 177, 273, 222
54, 4, 170, 176, 221, 221
75, 4, 264, 58, 334, 91
97, 4, 271, 178, 338, 222
38, 4, 218, 177, 274, 222
96, 4, 294, 142, 352, 178
54, 4, 332, 176, 399, 223
38, 4, 219, 177, 273, 222
94, 5, 170, 176, 221, 221
38, 5, 264, 58, 334, 91
36, 5, 271, 178, 338, 222
94, 5, 218, 177, 274, 222
98, 5, 294, 142, 352, 178
98, 5, 332, 176, 399, 223
94, 5, 219, 177, 273, 222
98, 6, 170, 176, 221, 221
38, 6, 264, 58, 334, 91
65, 6, 271, 178, 338, 222
98, 6, 218, 177, 274, 222
38, 6, 294, 142, 352, 178
17, 6, 332, 176, 399, 223
98, 6, 219, 177, 273, 222
38, 7, 170, 176, 221, 221
38, 7, 264, 58, 334, 91
98, 7, 271, 178, 338, 222
86, 7, 218, 177, 274, 222
98, 7, 294, 142, 352, 178
57, 7, 332, 176, 399, 223
86, 7, 219, 177, 273, 222
98, 8, 170, 176, 221, 221
65, 8, 264, 58, 334, 91
98, 8, 271, 178, 338, 222
38, 8, 218, 177, 274, 222
17, 8, 294, 142, 352, 178
94, 8, 332, 176, 399, 223
38, 8, 219, 177, 273, 222
84, 9, 170, 176, 221, 221
86, 9, 264, 58, 334, 91
17, 9, 271, 178, 338, 222
86, 9, 218, 177, 274, 222
38, 9, 294, 142, 352, 178
98, 9, 332, 176, 399, 223
86, 9, 219, 177, 273, 222
86, 10, 170, 176, 221, 221
38, 10, 264, 58, 334, 91
86, 10, 271, 178, 338, 222
86, 10, 218, 177, 274, 222
4, 10, 294, 142, 352, 178
98, 10, 332, 176, 399, 223
86, 10, 219, 177, 273, 222
98, 11, 170, 176, 221, 221
84, 11, 264, 58, 334, 91
38, 11, 271, 178, 338, 222
38, 11, 218, 177, 274, 222
38, 11, 294, 142, 352, 178
38, 11, 332, 176, 399, 223
38, 11, 219, 177, 273, 222
84, 12, 170, 176, 221, 221
38, 12, 264, 58, 334, 91
22, 12, 271, 178, 338, 222
57, 12, 218, 177, 274, 222
38, 12, 294, 142, 352, 178
57, 12, 332, 176, 399, 223
57, 12, 219, 177, 273, 222
65, 13, 170, 176, 221, 221
38, 13, 264, 58, 334, 91
97, 13, 271, 178, 338, 222
43, 13, 218, 177, 274, 222
98, 13, 294, 142, 352, 178
86, 13, 332, 176, 399, 223
43, 13, 219, 177, 273, 222
65, 14, 170, 176, 221, 221
98, 14, 264, 58, 334, 91
38, 14, 271, 178, 338, 222
84, 14, 218, 177, 274, 222
86, 14, 294, 142, 352, 178
65, 14, 332, 176, 399, 223
84, 14, 219, 177, 273, 222
65, 15, 170, 176, 221, 221
57, 15, 264, 58, 334, 91
98, 15, 271, 178, 338, 222
98, 15, 218, 177, 274, 222
86, 15, 294, 142, 352, 178
65, 15, 332, 176, 399, 223
98, 15, 219, 177, 273, 222
86, 16, 170, 176, 221, 221
38, 16, 264, 58, 334, 91
86, 16, 271, 178, 338, 222
86, 16, 218, 177, 274, 222
94, 16, 294, 142, 352, 178
86, 16, 332, 176, 399, 223
86, 16, 219, 177, 273, 222
65, 17, 170, 176, 221, 221
98, 17, 264, 58, 334, 91
65, 17, 271, 178, 338, 222
54, 17, 218, 177, 274, 222
98, 17, 294, 142, 352, 178
57, 17, 332, 176, 399, 223
54, 17, 219, 177, 273, 222
38, 18, 170, 176, 221, 221
58, 18, 264, 58, 334, 91
98, 18, 271, 178, 338, 222
98, 18, 218, 177, 274, 222
38, 18, 294, 142, 352, 178
98, 18, 332, 176, 399, 223
98, 18, 219, 177, 273, 222
98, 19, 170, 176, 221, 221
98, 19, 264, 58, 334, 91
22, 19, 271, 178, 338, 222
54, 19, 218, 177, 274, 222
57, 19, 294, 142, 352, 178
54, 19, 332, 176, 399, 223
54, 19, 219, 177, 273, 222
65, 20, 170, 176, 221, 221
98, 20, 264, 58, 334, 91
38, 20, 271, 178, 338, 222
65, 20, 218, 177, 274, 222
38, 20, 294, 142, 352, 178
86, 20, 332, 176, 399, 223
65, 20, 219, 177, 273, 222
84, 21, 170, 176, 221, 221
98, 21, 264, 58, 334, 91
98, 21, 271, 178, 338, 222
84, 21, 218, 177, 274, 222
38, 21, 294, 142, 352, 178
54, 21, 332, 176, 399, 223
84, 21, 219, 177, 273, 222
96, 22, 170, 176, 221, 221
38, 22, 264, 58, 334, 91
38, 22, 271, 178, 338, 222
38, 22, 218, 177, 274, 222
57, 22, 294, 142, 352, 178
86, 22, 332, 176, 399, 223
38, 22, 219, 177, 273, 222
17, 23, 170, 176, 221, 221
38, 23, 264, 58, 334, 91
38, 23, 271, 178, 338, 222
57, 23, 218, 177, 274, 222
38, 23, 294, 142, 352, 178
